date,position,song,artist,popularity,duration_ms,album_type,total_tracks,is_explicit,album_cover_url
18-05-2024,1,Like Crazy,Jimin,93,212241,single,6,FALSE,https://i.scdn.co/image/ab67616d0000b2732b46078245d0120690eb560d
18-05-2024,2,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM,87,182148,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b273d71fd77b89d08bc1bda219c7
18-05-2024,3,Spicy,aespa,81,197040,single,6,FALSE,https://i.scdn.co/image/ab67616d0000b27304878afb19613a94d37b29ce
18-05-2024,4,I AM,IVE,89,183853,album,11,FALSE,https://i.scdn.co/image/ab67616d0000b27325ef3cec1eceefd4db2f91c8
18-05-2024,5,Queencard,(G)I-DLE,71,161240,single,6,FALSE,https://i.scdn.co/image/ab67616d0000b27382dd2427e6d302711b1b9616
18-05-2024,6,Like Crazy (English Version),Jimin,90,212253,single,6,FALSE,https://i.scdn.co/image/ab67616d0000b2732b46078245d0120690eb560d
18-05-2024,7,Set Me Free Pt.2,Jimin,87,200929,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b2734f4ec2c2a865569bd4a067a4
18-05-2024,8,アイドル,YOASOBI,89,213233,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273b7d6ca50bf766ad72226290c
18-05-2024,9,Kitsch,IVE,80,195440,album,11,FALSE,https://i.scdn.co/image/ab67616d0000b27325ef3cec1eceefd4db2f91c8
18-05-2024,10,Cupid - Twin Ver.,FIFTY FIFTY,97,174253,single,3,FALSE,https://i.scdn.co/image/ab67616d0000b27337c0b3670236c067c8e8bbcb
18-05-2024,11,OMG,NewJeans,93,212253,single,2,FALSE,https://i.scdn.co/image/ab67616d0000b273d70036292d54f29e8b68ec01
18-05-2024,12,NIGHT DANCER,imase,75,210600,album,7,FALSE,https://i.scdn.co/image/ab67616d0000b2734b062591b6a5c15652dd2bb5
18-05-2024,13,Super,SEVENTEEN,88,200386,single,6,FALSE,https://i.scdn.co/image/ab67616d0000b27380e31ba0c05187e6310ef264
18-05-2024,14,"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version",Fast & Furious: The Fast Saga & Jimin & BTS,79,62789,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273146ea147ce8c185e71b3b84e
18-05-2024,15,Ditto,NewJeans,90,185506,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273edf5b257be1d6593e81bb45f
18-05-2024,16,Cupid,FIFTY FIFTY,88,174253,single,3,FALSE,https://i.scdn.co/image/ab67616d0000b27337c0b3670236c067c8e8bbcb
